registry_embedding_id,registry_record_id,object_embedding_id,view_profile,embedding_model_id,text_hash,embedded_text,embedding,metadata
regemb_45ff6888418b9f487a1e23c3,primitive.repo.scripts_aidevobserver_mcp_server_py.function.py_function_scripts_aidevobserver_mcp_server_dispatch,,planning,canonical_embedding_pending,554beed1946ecda9a17eb79927cc3ef2570288230d93f737bc8e33af2bf588df,170 after aidevobserver artifact as at before callable candidate code compose dag dispatch does enrich evidence false function generated graph information inventory kind line logs mcp name not observed or parameter parameters primitive promote promotion proof prove py python real reason receipts repo request required return scripts searchable server signature source step symbol task to true use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_29102845cbe15566e2431e7d,primitive.repo.scripts_aidevobserver_mcp_server_py.function.py_function_scripts_aidevobserver_mcp_server_serve,,planning,canonical_embedding_pending,0c7304e6821e0e5179ccf6f7262a8521b90a06941b9e49f6114e144f4000ab89,197 after aidevobserver artifact as at before callable candidate code compose dag does enrich evidence false function generated graph information inventory kind line logs mcp name not observed or parameter parameters primitive promote promotion proof prove py python real reason receipts repo required return scripts searchable serve server signature source stdin stdout step symbol task to true use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_af6fc5ab0303092885cf4650,primitive.repo.scripts_aidevobserver_mcp_server_py.var.py_var_scripts_aidevobserver_mcp_server_synthetic_transcript,,planning,canonical_embedding_pending,83270833141d9f320fd1b44b319c1cb4197e9daa429037871d7165910f43d3c0,219 aidevobserver artifact as at before candidate code compose dag enrich evidence generated graph information kind mcp primitive promotion prove py python real repo scripts searchable server source step symbol synthetic task to transcript use value var,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_efa774225e65494771feaa69,primitive.repo.scripts_aidevobserver_mcp_server_py.function.py_function_scripts_aidevobserver_mcp_server_self_test,,planning,canonical_embedding_pending,5ba2e8f5c9b47f417efaf42af4a21cb939984f926975bef19da197d2be198a2f,230 after aidevobserver artifact as at before callable candidate code compose dag does enrich evidence function generated graph information inventory kind logs mcp not observed or parameters primitive promote promotion proof prove py python real reason receipts repo return scripts searchable self server signature source step symbol task test to use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_c285d28bb802e649284e59f6,primitive.repo.scripts_aidevobserver_mcp_server_py.function.py_function_scripts_aidevobserver_mcp_server_self_test_ck,,planning,canonical_embedding_pending,2ceb465306e85829beeb6a887a552c6a728325c6350744bc23e5b72585421635,237 after aidevobserver artifact as at before callable candidate ck code compose dag detail does enrich evidence false function generated graph information inventory kind line logs mcp name not observed ok or parameter parameters primitive promote promotion proof prove py python real reason receipts repo required return scripts searchable self server signature source step symbol task test to true use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_b56847c749ca7d0a75e65877,primitive.repo.scripts_aidevobserver_mcp_server_py.instance.py_inst_scripts_aidevobserver_mcp_server_self_test_tmp,,planning,canonical_embedding_pending,464267b5e68154bee8840a12bd91e966ba753d4a6dddfb24f0a4d0e95aad8768,259 aidevobserver artifact as at before candidate code compose dag enrich evidence false generated graph information inst instance kind mcp primitive promotion prove py python real repo scripts searchable self server source step symbol task test tmp to use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_006b34ef060df907770fd8d5,primitive.repo.scripts_aidevobserver_mcp_server_py.function.py_function_scripts_aidevobserver_mcp_server_main,,planning,canonical_embedding_pending,19df4747c2ba7fc51342d568d7f1dbdc91f97970ea8d817737ee76ee68d2d7be,334 after aidevobserver argv artifact as at before callable candidate code compose dag does enrich evidence false function generated graph information inventory kind line logs main mcp name not observed or parameter parameters primitive promote promotion proof prove py python real reason receipts repo required return scripts searchable server signature source step symbol task to true use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_e23154caf991cba6e20738b7,primitive.repo.scripts_aidevobserver_primitive_lifecycle_py.const.py_const_scripts_aidevobserver_primitive_lifecycle_repo,,planning,canonical_embedding_pending,712651c6d043031070ca4e2f04338741d6cc4a5afc1abe2458ea1dedb7e777a1,14 aidevobserver artifact as at before candidate code compose const dag enrich evidence false generated graph information kind lifecycle primitive promotion prove py python real repo scripts searchable source step symbol task to use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_a7f37dd00181a23c275bfbec,primitive.repo.scripts_aidevobserver_project_scaffold_py.const.py_const_scripts_aidevobserver_project_scaffold_repo,,planning,canonical_embedding_pending,14e2198de79a74cd26981b7b6632dfffe7fd8dae23da8998baa27595f2ae5b19,24 aidevobserver artifact as at before candidate code compose const dag enrich evidence false generated graph information kind primitive project promotion prove py python real repo scaffold scripts searchable source step symbol task to use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_6874a6bf42b831a8835c9fb5,primitive.repo.scripts_aidevobserver_project_scaffold_py.const.py_const_scripts_aidevobserver_project_scaffold_framework_skills,,planning,canonical_embedding_pending,feafa4c25370f65c8ef5a8237b7e17e2ffc81a2598e3adedd0f8e61f0b372c64,29 aidevobserver artifact as at before candidate code compose const dag enrich evidence framework generated graph information kind primitive project promotion prove py python real repo scaffold scripts searchable skills source step symbol task to use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_c689839fc0fef5a573f28f0e,primitive.repo.scripts_aidevobserver_project_scaffold_py.class.py_class_scripts_aidevobserver_project_scaffold_templatefile,,planning,canonical_embedding_pending,c24ff709d3faeee8aa1a0d4d314c8278ded2daf4e41080e8e9c80fc8eb937f51,40 aidevobserver artifact as at before candidate class code compose constructor contract dag enrich evidence false generated graph information kind primitive project promotion prove py python real repo scaffold scripts searchable source step symbol task templatefile to use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_658edde9251f0b28f8d0491b,primitive.repo.scripts_aidevobserver_project_scaffold_py.var.py_var_scripts_aidevobserver_project_scaffold_templatefile_path,,planning,canonical_embedding_pending,38e649c2ee322e28cf2a978c59971e08fcb6cdf77e09d868d96ab513db707c92,41 aidevobserver artifact as at before candidate code compose dag enrich evidence false generated graph information kind primitive project promotion prove py python real repo scaffold scripts searchable source step symbol task templatefile to use value var,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_84a8c3a1b430e36f918752f6,primitive.repo.scripts_aidevobserver_project_scaffold_py.var.py_var_scripts_aidevobserver_project_scaffold_templatefile_content,,planning,canonical_embedding_pending,c892063cafca310588776b9bc2290ed868c14d6720126dda8cb5649c4435d3b8,42 aidevobserver artifact as at before candidate code compose content dag enrich evidence false generated graph information kind primitive project promotion prove py python real repo scaffold scripts searchable source step symbol task templatefile to use value var,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_a282040c2e7e8daed878c734,primitive.repo.scripts_aidevobserver_project_scaffold_py.function.py_function_scripts_aidevobserver_project_scaffold_skill_text,,planning,canonical_embedding_pending,170ebb0752e0e9e66dd21efbd3623481aad774dfd5b95ff23836d14e80f0ae4c,45 after aidevobserver artifact as at before callable candidate code compose dag does enrich evidence function generated graph information inventory kind line logs name not observed or parameter parameters primitive project promote promotion proof prove py python real reason receipts repo required return scaffold scripts searchable signature skill source step symbol task text to true use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_4b983d891b79a2ef499f0058,primitive.repo.scripts_aidevobserver_project_scaffold_py.function.py_function_scripts_aidevobserver_project_scaffold_templates,,planning,canonical_embedding_pending,1bb4530d827e8d9e82570617e3370356af33ca95d1a31b75d63f76a286106316,67 after aidevobserver artifact as at before callable candidate code compose dag does enrich evidence false framework function generated graph information inventory kind line logs name not observed or parameter parameters primitive project promote promotion proof prove py python real reason receipts repo required return scaffold scripts searchable signature source step symbol task templates to true use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_151033e2393dfeb518f4db20,primitive.repo.scripts_aidevobserver_project_scaffold_py.function.py_function_scripts_aidevobserver_project_scaffold_scaffold,,planning,canonical_embedding_pending,456ab6995b79823125ec9417392c6c558efade5d3efb7f6517a136003c003da2,203 after aidevobserver artifact as at before callable candidate code compose dag does enrich evidence false force framework function generated graph information inventory kind line logs name not observed or parameter parameters primitive project promote promotion proof prove py python real reason receipts repo required return scaffold scripts searchable signature source step symbol target task to true use write,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_7089f0aba64606dad99d3a6e,primitive.repo.scripts_aidevobserver_project_scaffold_py.function.py_function_scripts_aidevobserver_project_scaffold_self_test,,planning,canonical_embedding_pending,c18a8e0d9ddd1568f2a29a42258ad14cce198d1a438dbc6152a80e3d28aac02e,222 after aidevobserver artifact as at before callable candidate code compose dag does enrich evidence function generated graph information inventory kind logs not observed or parameters primitive project promote promotion proof prove py python real reason receipts repo return scaffold scripts searchable self signature source step symbol task test to use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_21e85d44f7a0b9d977bb3b4d,primitive.repo.scripts_aidevobserver_project_scaffold_py.instance.py_inst_scripts_aidevobserver_project_scaffold_self_test_root,,planning,canonical_embedding_pending,9d554cc371577c7db69bf3fe40ca31465ee72f094686e14c73d53bb3eace103d,225 aidevobserver artifact as at before candidate code compose dag enrich evidence false generated graph information inst instance kind primitive project promotion prove py python real repo root scaffold scripts searchable self source step symbol task test to use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_268744c603741cbfdcea3498,primitive.repo.scripts_aidevobserver_project_scaffold_py.function.py_function_scripts_aidevobserver_project_scaffold_main,,planning,canonical_embedding_pending,d96e8916d7bf905480251341077317d789dfe336c28cff4de58f0369de6c3609,266 after aidevobserver artifact as at before callable candidate code compose dag does enrich evidence false function generated graph information inventory kind logs main not observed or parameters primitive project promote promotion proof prove py python real reason receipts repo return scaffold scripts searchable signature source step symbol task to use,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_4856679009467cfad3ea0a9e,primitive.repo.scripts_aidevobserver_pypi_source_scan_py.const.py_const_scripts_aidevobserver_pypi_source_scan_repo,,planning,canonical_embedding_pending,658042f7b16f8200cbcd1ff6dd77a29bfc955d767709aab70ac03efa13bead9c,38 aidevobserver artifact as at before candidate code compose const dag enrich evidence generated graph information kind primitive promotion prove py pypi python real repo scan scripts searchable source step symbol task to use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
regemb_d3f5449fda5fab075654a2ea,primitive.repo.scripts_aidevobserver_pypi_source_scan_py.const.py_const_scripts_aidevobserver_pypi_source_scan_default_out_dir,,planning,canonical_embedding_pending,2c95890029e412858a5b3f2c9dfa7232f9e8f14b02e4970a0a9a9a2642c6e6fe,39 aidevobserver artifact as at before candidate code compose const dag default dir enrich evidence generated graph information kind out primitive promotion prove py pypi python real repo scan scripts searchable source step symbol task to use value,,"{""canonical_embedding_dim"": 384, ""serves_truth"": false, ""source"": ""primitive_registry_builder"", ""source_embedding_dim"": 64}"
