registry_record_id,registry_source_id,role,evidence_span,license_status
primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_digits,source_a3e0d0f9aa4c319b8fff51fe,derived_from,"{""line"": 17, ""symbol"": ""DIGITS""}",candidate
primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.const.py_const_code_templates_extract_phone_e164_extract_phone_e164_keep,source_a3e0d0f9aa4c319b8fff51fe,derived_from,"{""line"": 18, ""symbol"": ""KEEP""}",candidate
primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.function.py_function_code_templates_extract_phone_e164_extract_phone_e164_normalize,source_a3e0d0f9aa4c319b8fff51fe,derived_from,"{""line"": 21, ""symbol"": ""normalize""}",candidate
primitive.repo.code_templates_extract_phone_e164_extract_phone_e164_py.function.py_function_code_templates_extract_phone_e164_extract_phone_e164_run,source_a3e0d0f9aa4c319b8fff51fe,derived_from,"{""line"": 34, ""symbol"": ""run""}",candidate
primitive.repo.code_templates_extract_url_extract_url_py.const.py_const_code_templates_extract_url_extract_url_url_re,source_7998acb95852f3e12e793836,derived_from,"{""line"": 7, ""symbol"": ""URL_RE""}",candidate
primitive.repo.code_templates_extract_url_extract_url_py.function.py_function_code_templates_extract_url_extract_url_run,source_7998acb95852f3e12e793836,derived_from,"{""line"": 10, ""symbol"": ""run""}",candidate
primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_jaro,source_cd09d47fe18e5a121f8b3426,derived_from,"{""line"": 11, ""symbol"": ""jaro""}",candidate
primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_jaro_winkler,source_cd09d47fe18e5a121f8b3426,derived_from,"{""line"": 52, ""symbol"": ""jaro_winkler""}",candidate
primitive.repo.code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_py.function.py_function_code_templates_fuzzy_jaro_winkler_fuzzy_jaro_winkler_run,source_cd09d47fe18e5a121f8b3426,derived_from,"{""line"": 65, ""symbol"": ""run""}",candidate
primitive.repo.code_templates_normalize_date_normalize_date_py.const.py_const_code_templates_normalize_date_normalize_date_patterns,source_14d0fe595b7b9f685a9fe08f,derived_from,"{""line"": 14, ""symbol"": ""PATTERNS""}",candidate
